MGI_Gene_Marker_ID,Symbol,Name,Chr,Qualifier,Annotated_Term,Context,Proteoform,Evidence,Inferred_From,Reference(s),component
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,NA,negative regulation of endothelial cell apoptotic process,NA,NA,IGI,MGI:87860,J:198786,endothelial_cell_apoptotic_process
MGI:87860,Abl2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",1,NA,negative regulation of endothelial cell apoptotic process,NA,NA,IGI,MGI:87859,J:198786,endothelial_cell_apoptotic_process
MGI:893592,Ager,advanced glycosylation end product-specific receptor,17,NA,positive regulation of endothelial cell apoptotic process,NA,NA,ISO,RGD:69258,J:155856,endothelial_cell_apoptotic_process
MGI:1933427,Akr1c6,"aldo-keto reductase family 1, member C6",13,NA,positive regulation of endothelial cell apoptotic process,NA,NA,ISO,P42330,J:164563,endothelial_cell_apoptotic_process
MGI:2145458,Akr1c14,"aldo-keto reductase family 1, member C14",13,NA,positive regulation of endothelial cell apoptotic process,NA,NA,ISO,P42330,J:164563,endothelial_cell_apoptotic_process
MGI:2145420,Akr1c18,"aldo-keto reductase family 1, member C18",13,NA,positive regulation of endothelial cell apoptotic process,NA,NA,ISO,P42330,J:164563,endothelial_cell_apoptotic_process
MGI:2151104,Akr1c20,"aldo-keto reductase family 1, member C20",13,NA,positive regulation of endothelial cell apoptotic process,NA,NA,ISO,P42330,J:164563,endothelial_cell_apoptotic_process
MGI:1918111,Akr1cl,"aldo-keto reductase family 1, member C-like",1,NA,positive regulation of endothelial cell apoptotic process,NA,NA,ISO,P42330,J:164563,endothelial_cell_apoptotic_process
MGI:108448,Angpt1,angiopoietin 1,15,NA,negative regulation of endothelial cell apoptotic process,NA,NA,ISO,Q15389,J:164563,endothelial_cell_apoptotic_process
MGI:1888999,Angptl4,angiopoietin-like 4,17,NA,endothelial cell apoptotic process,happens in endothelial cell,NA,IDA,NA,J:61082,endothelial_cell_apoptotic_process
MGI:1888999,Angptl4,angiopoietin-like 4,17,NA,negative regulation of endothelial cell apoptotic process,negatively regulates endothelial cell apoptotic process,NA,IDA,NA,J:61082,endothelial_cell_apoptotic_process
MGI:2145890,Ano6,anoctamin 6,15,NA,positive regulation of endothelial cell apoptotic process,NA,NA,ISO,Q4KMQ2,J:164563,endothelial_cell_apoptotic_process
MGI:88180,Bmp4,bone morphogenetic protein 4,14,NA,positive regulation of endothelial cell apoptotic process,NA,NA,ISO,RGD:2213,J:155856,endothelial_cell_apoptotic_process
MGI:1095407,Bmpr2,bone morphogenetic protein receptor type 2,1,NA,endothelial cell apoptotic process,NA,NA,ISO,Q13873,J:164563,endothelial_cell_apoptotic_process
