MGI_Gene_Marker_ID,Symbol,Name,Chr,Qualifier,Annotated_Term,Context,Proteoform,Evidence,Inferred_From,Reference(s),component
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,NA,fibroblast apoptotic process,happens in fibroblast,NA,IMP,NA,J:119076,fibroblast_apoptotic_process
MGI:88039,Apc,"APC, WNT signaling pathway regulator",18,NA,positive regulation of fibroblast apoptotic process,positively regulates fibroblast apoptotic process,NA,IMP,NA,J:119076,fibroblast_apoptotic_process
MGI:1888993,Api5,apoptosis inhibitor 5,2,NA,fibroblast apoptotic process,happens in fibroblast,NA,IDA,NA,J:42738,fibroblast_apoptotic_process
MGI:1888993,Api5,apoptosis inhibitor 5,2,NA,negative regulation of fibroblast apoptotic process,negatively regulates fibroblast apoptotic process,NA,IDA,NA,J:42738,fibroblast_apoptotic_process
MGI:1097161,Bak1,BCL2-antagonist/killer 1,17,NA,fibroblast apoptotic process,NA,NA,IMP,NA,J:114727,fibroblast_apoptotic_process
MGI:2181667,Bbc3,BCL2 binding component 3,7,NA,fibroblast apoptotic process,happens in fibroblast,NA,IMP,MGI:2681654,J:86466,fibroblast_apoptotic_process
MGI:2181667,Bbc3,BCL2 binding component 3,7,NA,positive regulation of fibroblast apoptotic process,positively regulates fibroblast apoptotic process,NA,IMP,MGI:2681654,J:86466,fibroblast_apoptotic_process
MGI:1197519,Bcl2l11,BCL2 like 11,2,NA,positive regulation of fibroblast apoptotic process,NA,NA,ISO,O43521,J:164563,fibroblast_apoptotic_process
MGI:1337994,Bcl10,B cell leukemia/lymphoma 10,3,NOT,fibroblast apoptotic process,NA,NA,IMP,MGI:2158304,J:67297,fibroblast_apoptotic_process
MGI:108093,Bid,BH3 interacting domain death agonist,6,NA,positive regulation of fibroblast apoptotic process,NA,NA,IDA,NA,J:36730,fibroblast_apoptotic_process
MGI:88215,Btg1,BTG anti-proliferation factor 1,10,NA,positive regulation of fibroblast apoptotic process,NA,NA,ISO,P62324,J:164563,fibroblast_apoptotic_process
MGI:107739,Casp3,caspase 3,8,NA,fibroblast apoptotic process,happens in fibroblast,NA,IDA,NA,J:84272,fibroblast_apoptotic_process
MGI:107739,Casp3,caspase 3,8,NA,fibroblast apoptotic process,happens in fibroblast,NA,IMP,MGI:2158753,J:105496,fibroblast_apoptotic_process
MGI:109383,Casp7,caspase 7,19,NA,fibroblast apoptotic process,happens in fibroblast,NA,IGI,MGI:107739,J:105496,fibroblast_apoptotic_process
MGI:1277950,Casp9,caspase 9,4,NA,fibroblast apoptotic process,happens in fibroblast,NA,IDA,NA,J:84272,fibroblast_apoptotic_process
MGI:1312922,Casp12,caspase 12,9,NA,fibroblast apoptotic process,happens in fibroblast,NA,IDA,NA,J:84272,fibroblast_apoptotic_process
MGI:1344403,Cfdp1,craniofacial development protein 1,8,NA,fibroblast apoptotic process,happens in fibroblast,NA,IDA,NA,J:78447,fibroblast_apoptotic_process
MGI:1344403,Cfdp1,craniofacial development protein 1,8,NA,negative regulation of fibroblast apoptotic process,negatively regulates fibroblast apoptotic process,NA,IDA,NA,J:78447,fibroblast_apoptotic_process
MGI:1915022,Chd8,chromodomain helicase DNA binding protein 8,14,NA,negative regulation of fibroblast apoptotic process,NA,NA,IDA,NA,J:146960,fibroblast_apoptotic_process
MGI:1347360,Cul3,cullin 3,1,NA,fibroblast apoptotic process,NA,NA,IMP,MGI:3714267,J:122228,fibroblast_apoptotic_process
MGI:1921291,Ddias,DNA damage-induced apoptosis suppressor,7,NA,fibroblast apoptotic process,happens in fibroblast,NA,IMP,NA,J:123623,fibroblast_apoptotic_process
MGI:1921291,Ddias,DNA damage-induced apoptosis suppressor,7,NA,negative regulation of fibroblast apoptotic process,negatively regulates fibroblast apoptotic process,NA,IMP,NA,J:123623,fibroblast_apoptotic_process
