g_hash,initial_alias,initial_ensg,o_hash,ortholog_name,ortholog_ensg,description,component
1,ADA,ENSMUSG00000017697,1.1.1,ADA,ENSG00000196839,adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186],B_cell_apoptotic_process
2,ADA,ENSMUSG00000017697,2.1.1,ADA,ENSG00000196839,adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186],B_cell_apoptotic_process
3,ADA,ENSMUSG00000017697,3.1.1,ADA,ENSG00000196839,adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186],B_cell_apoptotic_process
4,ADA,ENSMUSG00000017697,4.1.1,ADA,ENSG00000196839,adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186],B_cell_apoptotic_process
5,AURKB,ENSMUSG00000020897,5.1.1,AURKB,ENSG00000178999,aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390],B_cell_apoptotic_process
6,BAK1,ENSMUSG00000057789,6.1.1,BAK1,ENSG00000030110,BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949],B_cell_apoptotic_process
7,BAX,ENSMUSG00000003873,7.1.1,BAX,ENSG00000087088,"BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]",B_cell_apoptotic_process
8,BAX,ENSMUSG00000003873,8.1.1,BAX,ENSG00000087088,"BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]",B_cell_apoptotic_process
9,BAX,ENSMUSG00000003873,9.1.1,BAX,ENSG00000087088,"BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]",B_cell_apoptotic_process
10,BAX,ENSMUSG00000003873,10.1.1,BAX,ENSG00000087088,"BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]",B_cell_apoptotic_process
11,BAX,ENSMUSG00000003873,11.1.1,BAX,ENSG00000087088,"BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]",B_cell_apoptotic_process
12,BCL2,ENSMUSG00000057329,12.1.1,BCL2,ENSG00000171791,BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990],B_cell_apoptotic_process
13,BCL2,ENSMUSG00000057329,13.1.1,BCL2,ENSG00000171791,BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990],B_cell_apoptotic_process
14,BCL2,ENSMUSG00000057329,14.1.1,BCL2,ENSG00000171791,BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990],B_cell_apoptotic_process
15,BCL2A1A,ENSMUSG00000102037,15.1.1,BCL2A1,ENSG00000140379,BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991],B_cell_apoptotic_process
16,BCL2A1A,ENSMUSG00000102037,16.1.1,BCL2A1,ENSG00000140379,BCL2 related protein A1 [Source:HGNC Symbol;Acc:HGNC:991],B_cell_apoptotic_process
17,BCL10,ENSMUSG00000028191,17.1.1,BCL10,ENSG00000142867,BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989],B_cell_apoptotic_process
18,BCL10,ENSMUSG00000028191,18.1.1,BCL10,ENSG00000142867,BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989],B_cell_apoptotic_process
19,BCL10,ENSMUSG00000028191,19.1.1,BCL10,ENSG00000142867,BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989],B_cell_apoptotic_process
20,CD24A,ENSMUSG00000047139,20.1.1,CD24,ENSG00000272398,CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645],B_cell_apoptotic_process
21,CD24A,ENSMUSG00000047139,21.1.1,CD24,ENSG00000272398,CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645],B_cell_apoptotic_process
22,CD44,ENSMUSG00000005087,22.1.1,CD44,ENSG00000026508,CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681],B_cell_apoptotic_process
23,CD74,ENSMUSG00000024610,23.1.1,CD74,ENSG00000019582,CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697],B_cell_apoptotic_process
24,CRKL,ENSMUSG00000006134,24.1.1,CRKL,ENSG00000099942,"CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]",B_cell_apoptotic_process
25,FNIP1,ENSMUSG00000035992,25.1.1,FNIP1,ENSG00000217128,folliculin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29418],B_cell_apoptotic_process
26,FNIP1,ENSMUSG00000035992,26.1.1,FNIP1,ENSG00000217128,folliculin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29418],B_cell_apoptotic_process
27,FNIP1,ENSMUSG00000035992,27.1.1,FNIP1,ENSG00000217128,folliculin interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29418],B_cell_apoptotic_process
28,FOXP1,ENSMUSG00000030067,28.1.1,FOXP1,ENSG00000114861,forkhead box P1 [Source:HGNC Symbol;Acc:HGNC:3823],B_cell_apoptotic_process
29,HSH2D,ENSMUSG00000062007,29.1.1,HSH2D,ENSG00000196684,hematopoietic SH2 domain containing [Source:HGNC Symbol;Acc:HGNC:24920],B_cell_apoptotic_process
30,IL2,ENSMUSG00000027720,30.1.1,IL2,ENSG00000109471,interleukin 2 [Source:HGNC Symbol;Acc:HGNC:6001],B_cell_apoptotic_process
31,IL3,ENSMUSG00000018914,31.1.1,IL3,ENSG00000164399,interleukin 3 [Source:HGNC Symbol;Acc:HGNC:6011],B_cell_apoptotic_process
