g_hash,initial_alias,initial_ensg,o_hash,ortholog_name,ortholog_ensg,description,component
1,APC,ENSMUSG00000005871,1.1.1,APC,ENSG00000134982,APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583],fibroblast_apoptotic_process
2,APC,ENSMUSG00000005871,2.1.1,APC,ENSG00000134982,APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583],fibroblast_apoptotic_process
3,API5,ENSMUSG00000027193,3.1.1,API5,ENSG00000166181,apoptosis inhibitor 5 [Source:HGNC Symbol;Acc:HGNC:594],fibroblast_apoptotic_process
4,API5,ENSMUSG00000027193,4.1.1,API5,ENSG00000166181,apoptosis inhibitor 5 [Source:HGNC Symbol;Acc:HGNC:594],fibroblast_apoptotic_process
5,BAK1,ENSMUSG00000057789,5.1.1,BAK1,ENSG00000030110,BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949],fibroblast_apoptotic_process
6,BBC3,ENSMUSG00000002083,6.1.1,BBC3,ENSG00000105327,BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868],fibroblast_apoptotic_process
7,BBC3,ENSMUSG00000002083,7.1.1,BBC3,ENSG00000105327,BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868],fibroblast_apoptotic_process
8,BCL2L11,ENSMUSG00000027381,8.1.1,BCL2L11,ENSG00000153094,BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994],fibroblast_apoptotic_process
9,BCL10,ENSMUSG00000028191,9.1.1,BCL10,ENSG00000142867,BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989],fibroblast_apoptotic_process
10,BID,ENSMUSG00000004446,10.1.1,BID,ENSG00000015475,BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050],fibroblast_apoptotic_process
11,BTG1,ENSMUSG00000036478,11.1.1,BTG1,ENSG00000133639,BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130],fibroblast_apoptotic_process
12,CASP3,ENSMUSG00000031628,12.1.1,CASP3,ENSG00000164305,caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504],fibroblast_apoptotic_process
13,CASP3,ENSMUSG00000031628,13.1.1,CASP3,ENSG00000164305,caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504],fibroblast_apoptotic_process
14,CASP7,ENSMUSG00000025076,14.1.1,CASP7,ENSG00000165806,caspase 7 [Source:HGNC Symbol;Acc:HGNC:1508],fibroblast_apoptotic_process
15,CASP9,ENSMUSG00000028914,15.1.1,CASP9,ENSG00000132906,caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511],fibroblast_apoptotic_process
16,CASP12,ENSMUSG00000025887,16.1.1,CASP12,ENSG00000204403,caspase 12 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:19004],fibroblast_apoptotic_process
17,CFDP1,ENSMUSG00000031954,17.1.1,CFDP1,ENSG00000153774,craniofacial development protein 1 [Source:HGNC Symbol;Acc:HGNC:1873],fibroblast_apoptotic_process
18,CFDP1,ENSMUSG00000031954,18.1.1,CFDP1,ENSG00000153774,craniofacial development protein 1 [Source:HGNC Symbol;Acc:HGNC:1873],fibroblast_apoptotic_process
19,CHD8,ENSMUSG00000053754,19.1.1,CHD8,ENSG00000100888,chromodomain helicase DNA binding protein 8 [Source:HGNC Symbol;Acc:HGNC:20153],fibroblast_apoptotic_process
20,CUL3,ENSMUSG00000004364,20.1.1,CUL3,ENSG00000036257,cullin 3 [Source:HGNC Symbol;Acc:HGNC:2553],fibroblast_apoptotic_process
21,DDIAS,ENSMUSG00000030641,21.1.1,DDIAS,ENSG00000165490,DNA damage induced apoptosis suppressor [Source:HGNC Symbol;Acc:HGNC:26351],fibroblast_apoptotic_process
22,DDIAS,ENSMUSG00000030641,22.1.1,DDIAS,ENSG00000165490,DNA damage induced apoptosis suppressor [Source:HGNC Symbol;Acc:HGNC:26351],fibroblast_apoptotic_process
23,GAS6,ENSMUSG00000031451,23.1.1,GAS6,ENSG00000183087,growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168],fibroblast_apoptotic_process
24,GAS6,ENSMUSG00000031451,24.1.1,GAS6,ENSG00000183087,growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168],fibroblast_apoptotic_process
25,GAS6,ENSMUSG00000031451,25.1.1,GAS6,ENSG00000183087,growth arrest specific 6 [Source:HGNC Symbol;Acc:HGNC:4168],fibroblast_apoptotic_process
26,IER3IP1,ENSMUSG00000090000,26.1.1,N/A,N/A,N/A,fibroblast_apoptotic_process
27,MEN1,ENSMUSG00000024947,27.1.1,MEN1,ENSG00000133895,menin 1 [Source:HGNC Symbol;Acc:HGNC:7010],fibroblast_apoptotic_process
28,MEN1,ENSMUSG00000024947,28.1.1,MEN1,ENSG00000133895,menin 1 [Source:HGNC Symbol;Acc:HGNC:7010],fibroblast_apoptotic_process
29,MEN1,ENSMUSG00000024947,29.1.1,MEN1,ENSG00000133895,menin 1 [Source:HGNC Symbol;Acc:HGNC:7010],fibroblast_apoptotic_process
30,MEN1,ENSMUSG00000024947,30.1.1,MEN1,ENSG00000133895,menin 1 [Source:HGNC Symbol;Acc:HGNC:7010],fibroblast_apoptotic_process
31,MEN1,ENSMUSG00000024947,31.1.1,MEN1,ENSG00000133895,menin 1 [Source:HGNC Symbol;Acc:HGNC:7010],fibroblast_apoptotic_process
32,MEN1,ENSMUSG00000024947,32.1.1,MEN1,ENSG00000133895,menin 1 [Source:HGNC Symbol;Acc:HGNC:7010],fibroblast_apoptotic_process
33,NUPR1,ENSMUSG00000030717,33.1.1,NUPR1,ENSG00000176046,"nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]",fibroblast_apoptotic_process
34,NUPR1,ENSMUSG00000030717,34.1.1,NUPR1,ENSG00000176046,"nuclear protein 1, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:29990]",fibroblast_apoptotic_process
35,PIK3CA,ENSMUSG00000027665,35.1.1,PIK3CA,ENSG00000121879,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]",fibroblast_apoptotic_process
36,PIK3CG,ENSMUSG00000020573,36.1.1,PIK3CG,ENSG00000105851,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]",fibroblast_apoptotic_process
