g_hash,initial_alias,initial_ensg,o_hash,ortholog_name,ortholog_ensg,description,component
1,ABL1,ENSMUSG00000026842,1.1.1,ABL1,ENSG00000097007,"ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]",endothelial_cell_apoptotic_process
2,ABL2,ENSMUSG00000026596,2.1.1,ABL2,ENSG00000143322,"ABL proto-oncogene 2, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:77]",endothelial_cell_apoptotic_process
3,AGER,ENSMUSG00000015452,3.1.1,AGER,ENSG00000204305,advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320],endothelial_cell_apoptotic_process
4,AKR1C6,ENSMUSG00000021210,4.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
5,AKR1C14,ENSMUSG00000033715,5.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
6,AKR1C18,ENSMUSG00000021214,6.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
7,AKR1C20,ENSMUSG00000054757,7.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
8,AKR1CL,ENSMUSG00000025955,8.1.1,N/A,N/A,N/A,endothelial_cell_apoptotic_process
9,ANGPT1,ENSMUSG00000022309,9.1.1,ANGPT1,ENSG00000154188,angiopoietin 1 [Source:HGNC Symbol;Acc:HGNC:484],endothelial_cell_apoptotic_process
10,ANGPTL4,ENSMUSG00000002289,10.1.1,ANGPTL4,ENSG00000167772,angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039],endothelial_cell_apoptotic_process
11,ANGPTL4,ENSMUSG00000002289,11.1.1,ANGPTL4,ENSG00000167772,angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039],endothelial_cell_apoptotic_process
12,ANO6,ENSMUSG00000064210,12.1.1,ANO6,ENSG00000177119,anoctamin 6 [Source:HGNC Symbol;Acc:HGNC:25240],endothelial_cell_apoptotic_process
13,BMP4,ENSMUSG00000021835,13.1.1,BMP4,ENSG00000125378,bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071],endothelial_cell_apoptotic_process
14,BMPR2,ENSMUSG00000067336,14.1.1,BMPR2,ENSG00000204217,bone morphogenetic protein receptor type 2 [Source:HGNC Symbol;Acc:HGNC:1078],endothelial_cell_apoptotic_process
15,BRAF,ENSMUSG00000002413,15.1.1,BRAF,ENSG00000157764,"B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]",endothelial_cell_apoptotic_process
16,BRAF,ENSMUSG00000002413,16.1.1,BRAF,ENSG00000157764,"B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]",endothelial_cell_apoptotic_process
